Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Avon Stream Copse & Meadow,"£59,000",Freehold,about 2 ¾ acres,50.3381,-3.85426,"GPS coordinates: 50.3381, -3.85426",https://www.woodlands.co.uk/buying-a-wood/devon/avon-stream-copse-meadow,Plymouth,50.3714,-4.1422,12.9,2.75,0.0111288551616
Carminow Wood,"£139,000",Freehold,about 8 acres,50.762,-4.26738,"GPS coordinates: 50.762, -4.26738",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/carminow-wood,Plymouth,50.3714,-4.1422,27.541,8.0,0.0323748513792
Heggadon Wood,"£75,000",Freehold,about 4 ⅔ acres,50.7637,-4.26967,"GPS coordinates: 50.7637, -4.26967",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/heggadon-wood,Plymouth,50.3714,-4.1422,27.677,4.666666666666667,0.0188853299712
Bradaford Wood,"£49,000",Freehold,over 3 acres,50.7619,-4.26877,"GPS coordinates: 50.7619, -4.26877",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/bradaford-wood,Plymouth,50.3714,-4.1422,27.547,3.0,0.0121405692672
Ruby Wood,"£39,000",Freehold,about 2 ⅓ acres,50.7627,-4.27033,"GPS coordinates: 50.7627, -4.27033",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/ruby-wood,Plymouth,50.3714,-4.1422,27.615,2.333333333333333,0.0094426649856
Fellows Meadow,"£215,000",Freehold,nearly 14 ½ acres,50.7796,-4.29064,"GPS coordinates: 50.7796, -4.29064",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/fellows-meadow,Plymouth,50.3714,-4.1422,28.946,14.5,0.0586794181248
Dreckly Meadow,"£95,000",Freehold,over 5 acres,50.9332,-4.38872,"GPS coordinates: 50.9332, -4.38872",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/dreckly-meadow,Plymouth,50.3714,-4.1422,40.291,5.0,0.020234282112
Oldfield Meadow,"£45,000",Freehold,about 2 ⅔ acres,50.7761,-4.29041,"GPS coordinates: 50.7761, -4.29041",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/oldfield-meadow,Plymouth,50.3714,-4.1422,28.708,2.6666666666666665,0.0107916171264
Matchstick Meadow,"£75,000",Freehold,over 5 acres,50.7765,-4.29072,"GPS coordinates: 50.7765, -4.29072",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/matchstick-meadow,Plymouth,50.3714,-4.1422,28.738,5.0,0.020234282112
Sandymoor Cross Wood,"£65,000",Freehold,nearly 4 acres,50.7644,-4.28292,"GPS coordinates: 50.7644, -4.28292",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/sandymoor-cross-wood,Plymouth,50.3714,-4.1422,27.847,4.0,0.0161874256896
Backalong Meadow,"£65,000",Freehold,about 4 acres,50.9295,-4.38869,"GPS coordinates: 50.9295, -4.38869",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/backalong-meadow,Plymouth,50.3714,-4.1422,40.044,4.0,0.0161874256896
Yellen Wood,"£59,000",Freehold,nearly 3 acres,50.6369,-4.47511,"GPS coordinates: 50.6369, -4.47511",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/yellen-wood,Plymouth,50.3714,-4.1422,23.464,3.0,0.0121405692672
Trewithan Wood,"£59,000",Freehold,about 2 ⅓ acres,50.6346,-4.47341,"GPS coordinates: 50.6346, -4.47341",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/trewithan-wood,Plymouth,50.3714,-4.1422,23.293,2.333333333333333,0.0094426649856
Trelorgan Wood,"£59,000",Freehold,2.75 acres,50.4765,-4.59489,"GPS coordinates: 50.4765, -4.59489",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/trelorgan-wood,Plymouth,50.3714,-4.1422,21.209,2.75,0.0111288551616
Hayloft Meadow,"£85,000",Freehold,almost 6 acres,54.5045,-1.98823,"GPS coordinates: 54.5045, -1.98823",https://www.woodlands.co.uk/buying-a-wood/planting-land-north/hayloft-meadow,Bishop Auckland,54.663,-1.676,16.62,6.0,0.0242811385344
Scargill Meadow,"£59,000",Freehold,around 4 ⅔ acres,54.5045,-1.99215,"GPS coordinates: 54.5045, -1.99215",https://www.woodlands.co.uk/buying-a-wood/planting-land-north/scargill-meadow,Bishop Auckland,54.663,-1.676,16.738,4.666666666666667,0.0188853299712
