Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
Wispy Wood,"£125,000",Freehold,8 ¼ acres,51.0925,0.801982,"GPS coordinates: 51.0925, 0.801982",https://www.woodlands.co.uk/buying-a-wood/south-east-england/wispy-wood,Folkestone,51.0792,1.1794,16.406
Rondel Wood,"£95,000",Freehold,6 ½ acres,51.0947,0.804976,"GPS coordinates: 51.0947, 0.804976",https://www.woodlands.co.uk/buying-a-wood/south-east-england/rondel-wood,Folkestone,51.0792,1.1794,16.285
Reamy Wood,"£95,000",Freehold,6 ¾ acres,51.0933,0.803216,"GPS coordinates: 51.0933, 0.803216",https://www.woodlands.co.uk/buying-a-wood/south-east-england/reamy-wood,Folkestone,51.0792,1.1794,16.356
Hurdle Wood,"£75,000",Freehold,4 ¾ acres,50.9824,0.633456,"GPS coordinates: 50.9824, 0.633456",https://www.woodlands.co.uk/buying-a-wood/south-east-england/hurdle-wood,Hastings,50.85,0.57,9.556
Duch Wood,"£159,000",Freehold,about 12 ¾ acres,52.3911,0.873877,"GPS coordinates: 52.3911, 0.873877",https://www.woodlands.co.uk/buying-a-wood/east-anglia/duch-wood,Norwich,52.6286,1.2928,24.075
Whin Wood,"£69,000",Freehold,about 4 acres,51.226,1.01429,"GPS coordinates: 51.226, 1.01429",https://www.woodlands.co.uk/buying-a-wood/south-east-england/whin-wood,Herne Bay,51.37,1.13,11.135
Red Wood,"£89,000",Freehold,about 5 ½ acres,52.05,1.23568,"GPS coordinates: 52.05, 1.23568",https://www.woodlands.co.uk/buying-a-wood/east-anglia/red-wood,Colchester,51.8917,0.903,17.893
Little Owl Wood,"£89,000",Freehold,over 5 acres,52.0471,1.23803,"GPS coordinates: 52.0471, 1.23803",https://www.woodlands.co.uk/buying-a-wood/east-anglia/little-owl-wood,Colchester,51.8917,0.903,17.851
Great Hart Wood,"£69,000",Freehold,about 4 acres,52.0496,1.23879,"GPS coordinates: 52.0496, 1.23879",https://www.woodlands.co.uk/buying-a-wood/east-anglia/great-hart-wood,Colchester,51.8917,0.903,17.981
Calamint Wood,"£109,000",Freehold,about 6 acres,50.7075,-1.15047,"GPS coordinates: 50.7075, -1.15047",https://www.woodlands.co.uk/buying-a-wood/central-england/calamint-wood,Portsmouth,50.8058,-1.0872,7.333
Conigre Wood,"£95,000",Freehold,about 3 ⅓ acres,51.3413,-2.2223,"GPS coordinates: 51.3413, -2.2223",https://www.woodlands.co.uk/buying-a-wood/central-england/conigre-wood,Trowbridge,51.32,-2.208,1.596
Herrywell Wood,"£149,000",Freehold,just under 7 ¼ acres,52.8901,-1.03885,"GPS coordinates: 52.8901, -1.03885",https://www.woodlands.co.uk/buying-a-wood/northern-england/herrywell-wood,West Bridgford,52.932,-1.127,4.677
